Graph Genus,Time,Solver
8,23.12564778327942,cbc
8,25.67308759689331,cbc
8,20.89159607887268,cbc
8,22.09968662261963,cbc
8,20.180819988250732,cbc
8,21.3663911819458,cbc
11,28.150262594223022,cbc
11,25.190991640090942,cbc
11,28.099266052246094,cbc
11,28.923129320144653,cbc
11,24.124943256378174,cbc
11,28.251490831375122,cbc
14,37.546024560928345,cbc
14,34.72067213058472,cbc
14,30.128069639205933,cbc
14,31.39092206954956,cbc
14,38.303011655807495,cbc
14,35.91688823699951,cbc
17,48.588762044906616,cbc
17,39.341954469680786,cbc
17,40.49194407463074,cbc
17,41.11417841911316,cbc
17,44.497496366500854,cbc
17,45.417378664016724,cbc
20,50.85168743133545,cbc
20,46.66698384284973,cbc
20,48.220927238464355,cbc
20,46.570881605148315,cbc
20,49.10337042808533,cbc
20,54.83814263343811,cbc
23,63.34096884727478,cbc
23,68.42665195465088,cbc
23,64.67578768730164,cbc
23,56.45979619026184,cbc
23,74.55108690261841,cbc
23,59.00486159324646,cbc
26,62.31127595901489,cbc
26,65.21864056587219,cbc
26,66.20939064025879,cbc
26,79.36156439781189,cbc
26,92.97010326385498,cbc
26,72.66835641860962,cbc
29,92.62859725952148,cbc
29,88.61784410476685,cbc
29,81.89859127998352,cbc
29,88.46423268318176,cbc
29,80.71698355674744,cbc
29,95.91908288002014,cbc
8,13.228858947753906,ipopt
8,13.130355834960938,ipopt
8,13.683538913726807,ipopt
8,13.013742208480835,ipopt
8,13.701899766921997,ipopt
8,13.829982280731201,ipopt
11,14.59203815460205,ipopt
11,14.689329862594604,ipopt
11,14.427922248840332,ipopt
11,14.430090188980103,ipopt
11,17.134297609329224,ipopt
11,18.495579481124878,ipopt
14,16.56063175201416,ipopt
14,15.38720965385437,ipopt
14,16.014484882354736,ipopt
14,16.35098910331726,ipopt
14,15.253134489059448,ipopt
14,15.81543755531311,ipopt
17,17.40745496749878,ipopt
17,16.72245168685913,ipopt
17,16.537553787231445,ipopt
17,16.71262216567993,ipopt
17,17.316609621047974,ipopt
17,16.685880184173584,ipopt
20,17.913780450820923,ipopt
20,17.972535133361816,ipopt
20,18.1058189868927,ipopt
20,18.37079119682312,ipopt
20,17.665945768356323,ipopt
20,17.755597829818726,ipopt
23,19.75873374938965,ipopt
23,19.039499282836914,ipopt
23,19.28812050819397,ipopt
23,19.11788582801819,ipopt
23,19.62847590446472,ipopt
23,19.04817008972168,ipopt
26,20.596930265426636,ipopt
26,20.394274473190308,ipopt
26,21.203763008117676,ipopt
26,21.16685175895691,ipopt
26,21.59043288230896,ipopt
26,21.372821807861328,ipopt
29,22.591876983642578,ipopt
29,22.084261894226074,ipopt
29,22.26092219352722,ipopt
29,22.358288764953613,ipopt
29,22.143104553222656,ipopt
29,21.8749737739563,ipopt
8,5.298398494720459,glpk
8,5.012469291687012,glpk
8,4.992783069610596,glpk
8,4.7669594287872314,glpk
8,4.973015308380127,glpk
8,4.902843713760376,glpk
11,5.987700700759888,glpk
11,5.904083967208862,glpk
11,6.090219974517822,glpk
11,6.061446189880371,glpk
11,5.892649412155151,glpk
11,5.965697526931763,glpk
14,7.133568286895752,glpk
14,6.941163539886475,glpk
14,7.128688335418701,glpk
14,7.3180601596832275,glpk
14,7.183487176895142,glpk
14,7.340893745422363,glpk
17,8.557113885879517,glpk
17,8.3930082321167,glpk
17,8.680109977722168,glpk
17,8.359086751937866,glpk
17,8.722239971160889,glpk
17,8.73755145072937,glpk
20,9.851273536682129,glpk
20,9.83772325515747,glpk
20,9.926701307296753,glpk
20,9.722603559494019,glpk
20,10.011875629425049,glpk
20,9.62788724899292,glpk
23,11.473621606826782,glpk
23,11.371111154556274,glpk
23,11.263461589813232,glpk
23,11.330573558807373,glpk
23,11.362956762313843,glpk
23,11.28795862197876,glpk
26,12.960169315338135,glpk
26,12.904170036315918,glpk
26,12.952646493911743,glpk
26,13.46169662475586,glpk
26,13.29071593284607,glpk
26,13.327095985412598,glpk
29,14.771324396133423,glpk
29,14.937723398208618,glpk
29,14.888639450073242,glpk
29,14.463179588317871,glpk
29,14.601712465286255,glpk
29,15.007392168045044,glpk
