Graph Nodes,Time,Solver
20,8.186266660690308,cbc
20,5.498558282852173,ipopt
20,2.064190149307251,glpk
20,13.239441156387329,scip
20,7.601273775100708,cbc
20,5.333238840103149,ipopt
20,2.103684663772583,glpk
20,13.402577638626099,scip
20,7.896962642669678,cbc
20,6.087544918060303,ipopt
20,2.091038942337036,glpk
20,9.890645742416382,scip
20,8.321788787841797,cbc
20,6.583672761917114,ipopt
20,2.0988566875457764,glpk
20,14.235107660293579,scip
20,8.187955141067505,cbc
20,5.457847833633423,ipopt
20,2.058920383453369,glpk
20,14.323018312454224,scip
20,8.931875944137573,cbc
20,5.573879718780518,ipopt
20,2.118746280670166,glpk
20,14.905866861343384,scip
30,18.653292179107666,cbc
30,14.934622764587402,ipopt
30,5.543278455734253,glpk
30,29.954469680786133,scip
30,19.27691340446472,cbc
30,15.179314374923706,ipopt
30,5.650978088378906,glpk
30,29.146514892578125,scip
30,19.461889266967773,cbc
30,14.237331867218018,ipopt
30,5.63218879699707,glpk
30,33.411696434020996,scip
30,22.751944303512573,cbc
30,15.696487426757812,ipopt
30,5.685635805130005,glpk
30,47.36667823791504,scip
30,19.705122709274292,cbc
30,14.034613132476807,ipopt
30,5.5834267139434814,glpk
30,25.899260997772217,scip
30,19.190634965896606,cbc
30,14.708956718444824,ipopt
30,5.4977428913116455,glpk
30,37.8177273273468,scip
40,40.43859648704529,cbc
40,27.29482674598694,ipopt
40,11.26206350326538,glpk
40,61.49771237373352,scip
40,40.17689752578735,cbc
40,28.754592895507812,ipopt
40,12.064880132675171,glpk
40,66.38230395317078,scip
40,40.8260862827301,cbc
40,30.884502410888672,ipopt
40,12.062215566635132,glpk
40,68.7319164276123,scip
40,41.60019612312317,cbc
40,30.629671573638916,ipopt
40,11.413273572921753,glpk
40,85.90215182304382,scip
40,38.432311058044434,cbc
40,30.146872520446777,ipopt
40,11.548158884048462,glpk
40,51.37093496322632,scip
40,39.4792001247406,cbc
40,31.099781036376953,ipopt
40,11.942968368530273,glpk
40,89.54303336143494,scip
50,62.45889353752136,cbc
50,52.3097779750824,ipopt
50,20.344026565551758,glpk
50,97.26811456680298,scip
50,66.57864809036255,cbc
50,52.44585943222046,ipopt
50,20.766751527786255,glpk
50,109.31801462173462,scip
50,68.30749654769897,cbc
50,49.418925285339355,ipopt
50,20.40489912033081,glpk
50,119.77327013015747,scip
50,70.26229858398438,cbc
50,51.27194547653198,ipopt
50,20.469101667404175,glpk
50,158.11387395858765,scip
50,62.342719078063965,cbc
50,49.33313226699829,ipopt
50,20.12719964981079,glpk
50,87.62031149864197,scip
50,61.51994252204895,cbc
50,52.75991678237915,ipopt
50,21.667806148529053,glpk
50,89.3340630531311,scip
60,93.59264755249023,cbc
60,75.22588348388672,ipopt
60,32.82105565071106,glpk
60,111.05279922485352,scip
60,102.54360580444336,cbc
60,74.7653124332428,ipopt
60,33.28280544281006,glpk
60,176.8333580493927,scip
60,99.1315290927887,cbc
60,79.55026006698608,ipopt
60,31.52540421485901,glpk
60,161.65190052986145,scip
60,102.6966962814331,cbc
60,91.90626430511475,ipopt
60,35.97491502761841,glpk
60,214.67012405395508,scip
60,95.84089589118958,cbc
60,77.06901240348816,ipopt
60,31.519986152648926,glpk
60,146.2694308757782,scip
60,97.56667423248291,cbc
60,74.6110851764679,ipopt
60,31.580981731414795,glpk
60,192.60104298591614,scip
70,127.27390718460083,cbc
70,107.1661946773529,ipopt
70,47.466389894485474,glpk
70,205.82329058647156,scip
70,123.03528308868408,cbc
70,92.47172164916992,ipopt
70,45.78077960014343,glpk
70,158.1004786491394,scip
70,120.59890246391296,cbc
70,93.12431335449219,ipopt
70,47.002814292907715,glpk
70,178.66902089118958,scip
70,131.60467076301575,cbc
70,90.47741031646729,ipopt
70,48.2464165687561,glpk
70,233.74211478233337,scip
70,123.93129444122314,cbc
70,104.01517415046692,ipopt
70,51.47431778907776,glpk
70,160.64618730545044,scip
70,128.6028790473938,cbc
70,108.71821546554565,ipopt
70,48.44831562042236,glpk
70,194.92804145812988,scip
80,166.8019015789032,cbc
80,154.12453150749207,ipopt
80,70.29139685630798,glpk
80,296.81300711631775,scip
80,206.82417917251587,cbc
80,150.98523211479187,ipopt
80,71.46871972084045,glpk
80,401.582261800766,scip
80,207.77663469314575,cbc
80,161.31312370300293,ipopt
80,69.65519618988037,glpk
80,344.5197744369507,scip
80,178.11440205574036,cbc
80,148.81363439559937,ipopt
80,67.69634413719177,glpk
80,208.91360235214233,scip
80,162.09670972824097,cbc
80,134.11616396903992,ipopt
80,68.26258897781372,glpk
80,196.69963240623474,scip
80,180.58008790016174,cbc
80,135.05373907089233,ipopt
80,69.65043115615845,glpk
80,307.78502225875854,scip
90,257.5757043361664,cbc
90,199.85078740119934,ipopt
90,95.9361310005188,glpk
90,439.607248544693,scip
90,220.92445468902588,cbc
90,209.24051666259766,ipopt
90,96.47172904014587,glpk
90,344.779180765152,scip
90,242.1231415271759,cbc
90,188.40725946426392,ipopt
90,95.56484723091125,glpk
90,510.92264676094055,scip
90,237.92813682556152,cbc
90,211.72663640975952,ipopt
90,96.84668684005737,glpk
90,385.60747814178467,scip
90,230.92731070518494,cbc
90,166.59405493736267,ipopt
90,90.40435028076172,glpk
90,365.1950628757477,scip
90,220.642591714859,cbc
90,163.15131425857544,ipopt
90,89.80190300941467,glpk
90,425.4087462425232,scip
