Graph Genus,Time,Method
5,0.04517698287963867,fplll
5,0.04880833625793457,fplll
5,0.04911303520202637,fplll
5,0.0493319034576416,fplll
5,0.04881429672241211,fplll
5,0.04901623725891113,fplll
9,0.08911752700805664,fplll
9,0.0884850025177002,fplll
9,0.08883857727050781,fplll
9,0.09073781967163086,fplll
9,0.07535195350646973,fplll
9,0.08838605880737305,fplll
13,0.1587388515472412,fplll
13,0.15673017501831055,fplll
13,0.16525578498840332,fplll
13,0.16111993789672852,fplll
13,0.16330528259277344,fplll
13,0.15999722480773926,fplll
17,0.264385461807251,fplll
17,0.2642333507537842,fplll
17,0.26300644874572754,fplll
17,0.26018476486206055,fplll
17,0.2662973403930664,fplll
17,0.2648301124572754,fplll
21,0.45671701431274414,fplll
21,0.45366764068603516,fplll
21,0.4416654109954834,fplll
21,0.4452381134033203,fplll
21,0.4481937885284424,fplll
21,0.4443366527557373,fplll
25,0.6930160522460938,fplll
25,0.6846082210540771,fplll
25,0.7004995346069336,fplll
25,0.6994607448577881,fplll
25,0.6831908226013184,fplll
25,0.7128336429595947,fplll
29,0.964972734451294,fplll
29,1.0307812690734863,fplll
29,0.9699978828430176,fplll
29,0.9921152591705322,fplll
29,0.9777867794036865,fplll
29,0.9746062755584717,fplll
33,1.4302639961242676,fplll
33,1.4294381141662598,fplll
33,1.4553430080413818,fplll
33,1.4449918270111084,fplll
33,1.4547526836395264,fplll
33,1.44866943359375,fplll
37,1.8893954753875732,fplll
37,1.8980364799499512,fplll
37,2.0201473236083984,fplll
37,1.955068826675415,fplll
37,1.9236760139465332,fplll
37,1.956951379776001,fplll
41,2.4665050506591797,fplll
41,2.6015870571136475,fplll
41,2.8296632766723633,fplll
41,2.49353289604187,fplll
41,2.4847378730773926,fplll
41,2.4272687435150146,fplll
