Graph Nodes,Time,Method
20,0.003427743911743164,rounding
20,0.028326988220214844,nearest
20,0.0028591156005859375,rounding
20,0.027663230895996094,nearest
20,0.002886533737182617,rounding
20,0.02749013900756836,nearest
20,0.0029768943786621094,rounding
20,0.027598857879638672,nearest
20,0.0027208328247070312,rounding
20,0.02764606475830078,nearest
20,0.0028045177459716797,rounding
20,0.027582406997680664,nearest
20,0.0027518272399902344,rounding
20,0.029117822647094727,nearest
20,0.002717256546020508,rounding
20,0.026951313018798828,nearest
20,0.0027260780334472656,rounding
20,0.027045726776123047,nearest
20,0.0027413368225097656,rounding
20,0.027162790298461914,nearest
30,0.006133317947387695,rounding
30,0.06252360343933105,nearest
30,0.006222724914550781,rounding
30,0.061974525451660156,nearest
30,0.006207466125488281,rounding
30,0.06218457221984863,nearest
30,0.006224155426025391,rounding
30,0.0614466667175293,nearest
30,0.0061185359954833984,rounding
30,0.061649322509765625,nearest
30,0.00622248649597168,rounding
30,0.06151008605957031,nearest
30,0.006139516830444336,rounding
30,0.06133151054382324,nearest
30,0.006246328353881836,rounding
30,0.06096386909484863,nearest
30,0.006208896636962891,rounding
30,0.07310223579406738,nearest
30,0.006103038787841797,rounding
30,0.061037540435791016,nearest
40,0.010943889617919922,rounding
40,0.10878682136535645,nearest
40,0.010936498641967773,rounding
40,0.1084432601928711,nearest
40,0.010989904403686523,rounding
40,0.11014628410339355,nearest
40,0.011019706726074219,rounding
40,0.10894274711608887,nearest
40,0.01085662841796875,rounding
40,0.10810494422912598,nearest
40,0.011169195175170898,rounding
40,0.10822486877441406,nearest
40,0.011108160018920898,rounding
40,0.10879039764404297,nearest
40,0.011075496673583984,rounding
40,0.1086881160736084,nearest
40,0.011148691177368164,rounding
40,0.10859537124633789,nearest
40,0.011092662811279297,rounding
40,0.10837388038635254,nearest
50,0.017319917678833008,rounding
50,0.17243170738220215,nearest
50,0.01739025115966797,rounding
50,0.17108750343322754,nearest
50,0.017310142517089844,rounding
50,0.16890358924865723,nearest
50,0.01739048957824707,rounding
50,0.16936016082763672,nearest
50,0.017395734786987305,rounding
50,0.16879630088806152,nearest
50,0.017142772674560547,rounding
50,0.16927838325500488,nearest
50,0.017310142517089844,rounding
50,0.16921138763427734,nearest
50,0.017332077026367188,rounding
50,0.16896295547485352,nearest
50,0.017350435256958008,rounding
50,0.16932296752929688,nearest
50,0.017330169677734375,rounding
50,0.16942262649536133,nearest
60,0.02462172508239746,rounding
60,0.24695372581481934,nearest
60,0.025039196014404297,rounding
60,0.24457716941833496,nearest
60,0.02500128746032715,rounding
60,0.24399256706237793,nearest
60,0.02503371238708496,rounding
60,0.24585437774658203,nearest
60,0.02486276626586914,rounding
60,0.24441027641296387,nearest
60,0.024947643280029297,rounding
60,0.24393916130065918,nearest
60,0.025067567825317383,rounding
60,0.2441692352294922,nearest
60,0.024881362915039062,rounding
60,0.24449539184570312,nearest
60,0.026371002197265625,rounding
60,0.24478960037231445,nearest
60,0.02482295036315918,rounding
60,0.2441415786743164,nearest
70,0.03414583206176758,rounding
70,0.3333282470703125,nearest
70,0.03396296501159668,rounding
70,0.33304905891418457,nearest
70,0.0341033935546875,rounding
70,0.33211731910705566,nearest
70,0.033797264099121094,rounding
70,0.3343679904937744,nearest
70,0.033974409103393555,rounding
70,0.329836368560791,nearest
70,0.03376603126525879,rounding
70,0.33533310890197754,nearest
70,0.03464770317077637,rounding
70,0.33391499519348145,nearest
70,0.0337519645690918,rounding
70,0.32990336418151855,nearest
70,0.03377532958984375,rounding
70,0.33109498023986816,nearest
70,0.03400135040283203,rounding
70,0.3324563503265381,nearest
80,0.04382514953613281,rounding
80,0.442734956741333,nearest
80,0.04509091377258301,rounding
80,0.439467191696167,nearest
80,0.04691171646118164,rounding
80,0.4386012554168701,nearest
80,0.045126914978027344,rounding
80,0.452878475189209,nearest
80,0.04463911056518555,rounding
80,0.4421377182006836,nearest
80,0.04525017738342285,rounding
80,0.44367313385009766,nearest
80,0.04520058631896973,rounding
80,0.4424450397491455,nearest
80,0.04451394081115723,rounding
80,0.4445672035217285,nearest
80,0.0443875789642334,rounding
80,0.44123172760009766,nearest
80,0.044670820236206055,rounding
80,0.44098424911499023,nearest
90,0.05682682991027832,rounding
90,0.5585708618164062,nearest
90,0.05639481544494629,rounding
90,0.5597822666168213,nearest
90,0.05628490447998047,rounding
90,0.5616562366485596,nearest
90,0.05714130401611328,rounding
90,0.5589077472686768,nearest
90,0.05665302276611328,rounding
90,0.56300950050354,nearest
90,0.05630350112915039,rounding
90,0.5598931312561035,nearest
90,0.05676555633544922,rounding
90,0.5581371784210205,nearest
90,0.056800127029418945,rounding
90,0.5614163875579834,nearest
90,0.05672883987426758,rounding
90,0.5590720176696777,nearest
90,0.056884765625,rounding
90,0.5584368705749512,nearest
100,0.07011818885803223,rounding
100,0.7012522220611572,nearest
100,0.07486939430236816,rounding
100,0.7264673709869385,nearest
100,0.07086372375488281,rounding
100,0.6927289962768555,nearest
100,0.07031631469726562,rounding
100,0.7007269859313965,nearest
100,0.0704035758972168,rounding
100,0.6939284801483154,nearest
100,0.07089996337890625,rounding
100,0.6941938400268555,nearest
100,0.0692436695098877,rounding
100,0.6844830513000488,nearest
100,0.06811380386352539,rounding
100,0.6829323768615723,nearest
100,0.06877541542053223,rounding
100,0.6868581771850586,nearest
100,0.06852054595947266,rounding
100,0.6826596260070801,nearest
110,0.08348798751831055,rounding
110,0.8290114402770996,nearest
110,0.08571243286132812,rounding
110,0.8306450843811035,nearest
110,0.0832366943359375,rounding
110,0.8401074409484863,nearest
110,0.08308005332946777,rounding
110,0.8365921974182129,nearest
110,0.08536243438720703,rounding
110,0.8455665111541748,nearest
110,0.08547472953796387,rounding
110,0.8387470245361328,nearest
110,0.08495116233825684,rounding
110,0.843719482421875,nearest
110,0.08596420288085938,rounding
110,0.847142219543457,nearest
110,0.08561158180236816,rounding
110,0.8448357582092285,nearest
110,0.08605313301086426,rounding
110,0.8495938777923584,nearest
