Graph Genus,Time,Method
100,0.12067723274230957,rounding
100,0.7503736019134521,nearest
100,0.11896562576293945,rounding
100,0.7467091083526611,nearest
100,0.11565899848937988,rounding
100,0.7417738437652588,nearest
100,0.12920475006103516,rounding
100,0.7510700225830078,nearest
100,0.11754751205444336,rounding
100,0.7419979572296143,nearest
100,0.11954164505004883,rounding
100,0.7515685558319092,nearest
100,0.11989617347717285,rounding
100,0.7425472736358643,nearest
100,0.11948108673095703,rounding
100,0.740800142288208,nearest
100,0.11708378791809082,rounding
100,0.7419705390930176,nearest
100,0.11915850639343262,rounding
100,0.7361514568328857,nearest
150,0.14575433731079102,rounding
150,1.1912822723388672,nearest
150,0.14528894424438477,rounding
150,1.202714443206787,nearest
150,0.1484231948852539,rounding
150,1.209566593170166,nearest
150,0.1393880844116211,rounding
150,1.1793878078460693,nearest
150,0.14007043838500977,rounding
150,1.1832528114318848,nearest
150,0.1384272575378418,rounding
150,1.1800322532653809,nearest
150,0.13897919654846191,rounding
150,1.1791660785675049,nearest
150,0.14178800582885742,rounding
150,1.18110990524292,nearest
150,0.14603161811828613,rounding
150,1.188222885131836,nearest
150,0.13892436027526855,rounding
150,1.2030255794525146,nearest
200,0.24461770057678223,rounding
200,1.6650354862213135,nearest
200,0.2311873435974121,rounding
200,1.621138095855713,nearest
200,0.2342231273651123,rounding
200,1.6189546585083008,nearest
200,0.2298290729522705,rounding
200,1.6197643280029297,nearest
200,0.23309636116027832,rounding
200,1.6209897994995117,nearest
200,0.23277068138122559,rounding
200,1.6150145530700684,nearest
200,0.23470544815063477,rounding
200,1.6088786125183105,nearest
200,0.22861623764038086,rounding
200,1.6286382675170898,nearest
200,0.22928667068481445,rounding
200,1.6028013229370117,nearest
200,0.2298600673675537,rounding
200,1.6174371242523193,nearest
250,0.40776896476745605,rounding
250,2.089738368988037,nearest
250,0.40474486351013184,rounding
250,2.090362548828125,nearest
250,0.4130985736846924,rounding
250,2.11055588722229,nearest
250,0.4069375991821289,rounding
250,2.1078152656555176,nearest
250,0.41643428802490234,rounding
250,2.0995025634765625,nearest
250,0.40296459197998047,rounding
250,2.0926287174224854,nearest
250,0.4381566047668457,rounding
250,2.1301281452178955,nearest
250,0.4357023239135742,rounding
250,2.1494157314300537,nearest
250,0.43910861015319824,rounding
250,2.193667411804199,nearest
250,0.4326496124267578,rounding
250,2.126065254211426,nearest
300,0.6119801998138428,rounding
300,2.604074716567993,nearest
300,0.6152408123016357,rounding
300,2.6350793838500977,nearest
300,0.627971887588501,rounding
300,2.619431495666504,nearest
300,0.6249279975891113,rounding
300,2.6650781631469727,nearest
300,0.6043148040771484,rounding
300,2.610905885696411,nearest
300,0.627936601638794,rounding
300,2.623231887817383,nearest
300,0.6294584274291992,rounding
300,2.6232895851135254,nearest
300,0.6243367195129395,rounding
300,2.640763759613037,nearest
300,0.6219637393951416,rounding
300,2.6468348503112793,nearest
300,0.6286826133728027,rounding
300,2.6488037109375,nearest
350,1.0051007270812988,rounding
350,3.2602362632751465,nearest
350,0.9918947219848633,rounding
350,3.2384085655212402,nearest
350,0.9778227806091309,rounding
350,3.2798447608947754,nearest
350,0.9724905490875244,rounding
350,3.2469780445098877,nearest
350,0.9904541969299316,rounding
350,3.2454731464385986,nearest
350,1.0003843307495117,rounding
350,3.2796924114227295,nearest
350,0.9729852676391602,rounding
350,3.2211062908172607,nearest
350,0.9538455009460449,rounding
350,3.191087007522583,nearest
350,1.0123884677886963,rounding
350,3.225003719329834,nearest
350,0.9673118591308594,rounding
350,3.2453553676605225,nearest
400,1.369896411895752,rounding
400,3.7724010944366455,nearest
400,1.3234162330627441,rounding
400,3.7276840209960938,nearest
400,1.3856565952301025,rounding
400,3.771764039993286,nearest
400,1.43379545211792,rounding
400,3.8837571144104004,nearest
400,1.4183518886566162,rounding
400,3.819413423538208,nearest
400,1.388275146484375,rounding
400,3.8420944213867188,nearest
400,1.3639850616455078,rounding
400,3.754929780960083,nearest
400,1.4000334739685059,rounding
400,3.798837184906006,nearest
400,1.4089117050170898,rounding
400,3.7473411560058594,nearest
400,1.4198203086853027,rounding
400,3.789891481399536,nearest
450,2.0847129821777344,rounding
450,4.604777812957764,nearest
450,2.03293514251709,rounding
450,4.543594121932983,nearest
