Graph Genus,Time,Method
5,1.5507385730743408,gauss
5,1.51682448387146,gauss
5,1.4224803447723389,gauss
5,1.4347918033599854,gauss
5,1.460526704788208,gauss
5,1.4291014671325684,gauss
9,1.6829750537872314,gauss
9,1.6656498908996582,gauss
9,1.705075979232788,gauss
9,1.674997091293335,gauss
9,1.7671213150024414,gauss
9,1.678617238998413,gauss
13,2.524818181991577,gauss
13,2.565401315689087,gauss
13,2.4599711894989014,gauss
13,2.540860414505005,gauss
13,2.5476691722869873,gauss
13,2.5037038326263428,gauss
17,3.6199522018432617,gauss
17,3.5993337631225586,gauss
17,3.530994415283203,gauss
17,3.69748592376709,gauss
17,3.736893653869629,gauss
17,3.5659799575805664,gauss
21,5.2324440479278564,gauss
21,5.6631245613098145,gauss
21,5.4419097900390625,gauss
21,5.30938720703125,gauss
21,5.468907117843628,gauss
21,5.632957696914673,gauss
25,9.369227886199951,gauss
25,9.312649250030518,gauss
25,9.883219718933105,gauss
25,9.585204124450684,gauss
25,9.85255479812622,gauss
25,9.10288691520691,gauss
29,12.19835901260376,gauss
29,12.367429256439209,gauss
29,12.24586272239685,gauss
29,11.85982894897461,gauss
29,12.241615772247314,gauss
29,12.139446020126343,gauss
33,23.318321466445923,gauss
33,19.994378328323364,gauss
33,23.18246865272522,gauss
33,22.921162366867065,gauss
33,23.18118381500244,gauss
33,22.99294948577881,gauss
37,48.70960187911987,gauss
37,48.68729853630066,gauss
37,49.90880846977234,gauss
37,49.70953154563904,gauss
37,49.08493399620056,gauss
37,49.60111927986145,gauss
41,118.368234872818,gauss
41,119.7155704498291,gauss
41,118.86598014831543,gauss
41,119.67859387397766,gauss
41,120.02513694763184,gauss
41,119.63399386405945,gauss
5,1.202448844909668,nv
5,1.3243110179901123,nv
5,1.218956708908081,nv
5,1.2059168815612793,nv
5,1.2057840824127197,nv
5,1.2001063823699951,nv
9,1.4370355606079102,nv
9,1.4342100620269775,nv
9,1.4242641925811768,nv
9,1.4091670513153076,nv
9,1.4086813926696777,nv
9,1.4102208614349365,nv
13,1.7994496822357178,nv
13,1.7724392414093018,nv
13,1.7964839935302734,nv
13,1.8201375007629395,nv
13,1.8033196926116943,nv
13,1.75877046585083,nv
17,2.3699450492858887,nv
17,2.400519847869873,nv
17,2.342024564743042,nv
17,2.297029495239258,nv
17,2.348311424255371,nv
17,2.338637351989746,nv
21,3.1383771896362305,nv
21,3.169455051422119,nv
21,3.353729009628296,nv
21,3.1594595909118652,nv
21,3.241069793701172,nv
21,3.2719762325286865,nv
25,4.642059326171875,nv
25,4.576035261154175,nv
25,4.697769403457642,nv
25,4.555150508880615,nv
25,4.406783103942871,nv
25,4.653134107589722,nv
29,8.299391746520996,nv
29,8.473819971084595,nv
29,8.254599809646606,nv
29,8.33710765838623,nv
29,8.402315855026245,nv
29,8.458168506622314,nv
33,24.102993726730347,nv
33,23.17242193222046,nv
33,22.943068981170654,nv
33,23.15458607673645,nv
33,24.07729411125183,nv
33,23.822113752365112,nv
37,57.47954797744751,nv
37,61.00842356681824,nv
37,57.933884143829346,nv
37,59.332907915115356,nv
37,58.61640501022339,nv
37,58.367008447647095,nv
41,177.83351612091064,nv
41,173.12907314300537,nv
41,173.65474653244019,nv
41,176.8685746192932,nv
41,175.2802369594574,nv
41,177.47140312194824,nv
