Graph Genus,Time,Solver
30,118.57133531570435,scip
30,133.89595937728882,scip
30,125.45116329193115,scip
30,134.8826344013214,scip
30,154.36325883865356,scip
30,132.7380096912384,scip
35,126.93202424049377,scip
35,122.02276921272278,scip
35,117.48829364776611,scip
35,123.98031663894653,scip
35,124.47069239616394,scip
35,124.94068932533264,scip
40,123.93654680252075,scip
40,132.47418928146362,scip
40,129.97848343849182,scip
40,131.63586974143982,scip
40,129.63175916671753,scip
40,125.51908731460571,scip
45,134.25014424324036,scip
45,147.2878177165985,scip
45,152.58888792991638,scip
45,150.31415939331055,scip
45,141.26597952842712,scip
45,142.96729564666748,scip
50,153.84345936775208,scip
50,163.76687169075012,scip
50,177.3707013130188,scip
50,169.15049171447754,scip
50,178.91333055496216,scip
50,158.6420443058014,scip
55,198.42395162582397,scip
55,171.51840257644653,scip
55,175.52848386764526,scip
55,175.10563850402832,scip
55,179.99053978919983,scip
55,164.75963401794434,scip
60,204.86705207824707,scip
60,231.71319341659546,scip
60,199.34956192970276,scip
60,211.22620487213135,scip
60,200.3470766544342,scip
60,207.60305666923523,scip
65,220.02148270606995,scip
65,219.60898351669312,scip
65,209.83727645874023,scip
65,225.6040337085724,scip
65,222.23186087608337,scip
65,216.2966911792755,scip
